date,trend,weekly,annual,events,promo,noise,intensity,discount,price_index,line_items,actual_revenue,actual_units
2023-01-01,1.0,1.105505,1.276452,1.207428,0.943436,1.126423,1.810673,0.185648,1.0,107,8074.16,213
2023-01-02,1.001071,0.896186,1.274777,1.253311,0.943436,0.984395,1.331183,0.211181,1.000096,79,7180.36,140
2023-01-03,1.002142,0.857418,1.272921,1.269344,0.943436,0.923181,1.209212,0.220898,1.000192,72,6853.17,137
2023-01-04,1.003215,0.857418,1.270885,1.241035,0.943436,1.100198,1.408187,0.209668,1.000288,84,7207.8,161
2023-01-05,1.004289,0.896186,1.268667,1.173759,0.943436,0.999621,1.263954,0.180411,1.000383,75,7057.63,159
2023-01-06,1.005364,1.105505,1.266268,1.08558,0.943436,0.821634,1.184301,0.141451,1.000479,70,6442.05,136
2023-01-07,1.00644,1.282685,1.263688,0.997449,0.943436,0.783687,1.203076,0.1023,1.000575,71,6499.23,143
2023-01-08,1.007517,1.105505,1.260927,0.924711,0.943436,0.795928,0.975203,0.069911,1.000671,58,6357.69,126
2023-01-09,1.008595,0.896186,1.257986,0.873513,0.943436,0.989555,0.927284,0.047087,1.000767,55,6210.03,99
2023-01-10,1.009674,0.857418,1.254866,0.842278,0.943436,1.012623,0.874152,0.033156,1.000863,52,5486.11,98
2023-01-11,1.010754,0.857418,1.251567,0.825604,0.943436,1.108217,0.936271,0.025718,1.000959,56,5302.33,116
2023-01-12,1.011835,0.896186,1.248092,0.817771,0.943436,0.967344,0.844656,0.022224,1.001055,50,5180.66,94
2023-01-13,1.012916,1.105505,1.244442,0.814519,0.943436,1.007039,1.078373,0.020774,1.001151,64,6724.92,126
2023-01-14,1.013999,1.282685,1.240619,0.813323,0.943436,1.095368,1.356224,0.020241,1.001246,81,7886.4,147
2023-01-15,1.015083,1.105505,1.236625,0.812932,0.943436,0.98058,1.043637,0.020067,1.001342,62,5411.76,124
2023-01-16,1.016167,0.896186,1.232462,0.812818,0.943436,1.058095,0.910683,0.020017,1.001438,54,6791.66,111
2023-01-17,1.017253,0.857418,1.228132,0.812788,0.943436,0.918905,0.754792,0.020004,1.001534,45,5330.47,90
2023-01-18,1.018339,0.857418,1.22364,0.812781,0.943436,0.914715,0.749395,0.020001,1.00163,44,4161.48,87
2023-01-19,1.019426,0.896186,1.218987,0.81278,0.943436,0.910699,0.777703,0.02,1.001726,46,4378.18,84
2023-01-20,1.020514,1.105505,1.214178,0.81278,0.943436,0.80485,0.845399,0.02,1.001822,50,5164.99,95
2023-01-21,1.021603,1.282685,1.209215,0.81278,0.943436,0.991908,1.205207,0.02,1.001918,72,7996.68,150
2023-01-22,1.022692,1.105505,1.204101,0.81278,0.943436,0.924663,0.965245,0.02,1.002014,57,6012.13,97
2023-01-23,1.023782,0.896186,1.198842,0.81278,0.943436,0.969796,0.817963,0.02,1.00211,49,5546.88,94
2023-01-24,1.024873,0.857418,1.193441,0.81278,0.943436,1.057801,0.850654,0.02,1.002206,50,4934.92,93
2023-01-25,1.025965,0.857418,1.187901,0.81278,0.943436,1.084876,0.869303,0.02,1.002302,52,5857.59,111
2023-01-26,1.027057,0.896186,1.182229,0.81278,0.943436,1.131012,0.943728,0.02,1.002398,56,5908.7,106
2023-01-27,1.02815,1.105505,1.176427,0.81278,0.943436,1.023472,1.049405,0.02,1.002495,62,7460.43,125
2023-01-28,1.029244,1.282685,1.170501,0.81278,0.943436,0.94134,1.115427,0.02,1.002591,66,6655.61,121
2023-01-29,1.030338,1.105505,1.164455,0.81278,0.943436,0.962488,0.978912,0.02,1.002687,58,5926.63,117
2023-01-30,1.031433,0.896186,1.158294,0.81278,0.943436,0.762306,0.625854,0.02,1.002783,37,4115.17,65
2023-01-31,1.032528,0.857418,1.152025,0.81278,0.943436,0.728321,0.569593,0.02,1.002879,34,3423.32,71
2023-02-01,1.033624,0.857418,1.14565,0.81278,0.943436,0.730279,0.568567,0.02,1.002975,34,3203.52,67
2023-02-02,1.034721,0.896186,1.139177,0.81278,0.943436,0.767505,0.621697,0.02,1.003071,37,3634.45,80
2023-02-03,1.035818,1.105505,1.132609,0.81278,0.943436,0.962883,0.957598,0.02,1.003167,57,5265.04,101
2023-02-04,1.036915,1.282685,1.125954,0.812781,0.943436,0.857204,0.984361,0.02,1.003263,58,5145.77,104
2023-02-05,1.038013,1.105505,1.119215,0.812799,0.943436,0.890712,0.877223,0.020004,1.003359,52,4572.31,107
2023-02-06,1.039112,0.896186,1.1124,0.812943,0.943436,1.160782,0.922241,0.020034,1.003456,55,5784.26,114
2023-02-07,1.040211,0.857418,1.105512,0.813846,0.943436,0.993678,0.752278,0.020219,1.003552,45,4957.53,89
