date,sku,total_units,total_revenue,is_promo_active,category,base_price,units_lag_7,units_rolling_7d_avg,price_per_unit,month,day_of_week
2023-01-11,ACC-001,5,98.78999999999999,0,accessories,20.65,4.0,3.857142857142857,19.758,1,Wednesday
2023-01-12,ACC-001,3,59.16,0,accessories,20.65,3.0,4.0,19.72,1,Thursday
2023-01-14,ACC-001,1,19.6,0,accessories,20.65,2.0,4.0,19.6,1,Saturday
2023-01-15,ACC-001,2,40.68,0,accessories,20.65,1.0,3.857142857142857,20.34,1,Sunday
2023-01-18,ACC-001,6,122.86,0,accessories,20.65,9.0,4.0,20.476666666666667,1,Wednesday
2023-01-21,ACC-001,3,60.63,0,accessories,20.65,7.0,3.5714285714285716,20.21,1,Saturday
2023-01-23,ACC-001,4,79.93,0,accessories,20.65,1.0,3.0,19.9825,1,Monday
2023-01-26,ACC-001,2,41.34,0,accessories,20.65,5.0,3.4285714285714284,20.67,1,Thursday
2023-02-02,ACC-001,2,41.04,0,accessories,20.65,3.0,3.0,20.52,2,Thursday
2023-02-05,ACC-001,2,41.29,0,accessories,20.65,1.0,2.857142857142857,20.645,2,Sunday
2023-02-06,ACC-001,7,145.24,0,accessories,20.65,2.0,3.0,20.74857142857143,2,Monday
2023-02-08,ACC-001,9,181.41,0,accessories,20.65,6.0,3.7142857142857144,20.156666666666666,2,Wednesday
2023-02-12,ACC-001,2,37.04,0,accessories,20.65,3.0,4.142857142857143,18.52,2,Sunday
2023-02-13,ACC-001,4,77.04,0,accessories,20.65,4.0,4.0,19.26,2,Monday
2023-02-14,ACC-001,1,18.53,1,accessories,20.65,2.0,4.0,18.53,2,Tuesday
2023-02-15,ACC-001,1,18.29,0,accessories,20.65,2.0,3.857142857142857,18.29,2,Wednesday
2023-02-21,ACC-001,2,40.95,0,accessories,20.65,2.0,3.7142857142857144,20.475,2,Tuesday
2023-02-23,ACC-001,1,20.69,0,accessories,20.65,7.0,3.7142857142857144,20.69,2,Thursday
2023-02-24,ACC-001,8,159.38,0,accessories,20.65,9.0,2.857142857142857,19.9225,2,Friday
2023-02-27,ACC-001,6,121.92,0,accessories,20.65,2.0,2.7142857142857144,20.32,2,Monday
2023-03-03,ACC-001,3,61.160000000000004,0,accessories,20.65,4.0,3.2857142857142856,20.386666666666667,3,Friday
2023-03-07,ACC-001,2,41.78,0,accessories,20.65,1.0,3.142857142857143,20.89,3,Tuesday
2023-03-08,ACC-001,4,84.08,0,accessories,20.65,1.0,3.2857142857142856,21.02,3,Wednesday
2023-03-09,ACC-001,2,39.68,0,accessories,20.65,2.0,3.7142857142857144,19.84,3,Thursday
2023-03-10,ACC-001,3,60.84,0,accessories,20.65,1.0,3.7142857142857144,20.28,3,Friday
2023-03-12,ACC-001,4,80.28,0,accessories,20.65,8.0,4.0,20.07,3,Sunday
2023-03-13,ACC-001,5,100.67,0,accessories,20.65,6.0,3.4285714285714284,20.134,3,Monday
2023-03-15,ACC-001,3,61.099999999999994,0,accessories,20.65,3.0,3.2857142857142856,20.366666666666664,3,Wednesday
2023-03-17,ACC-001,6,117.44999999999999,0,accessories,20.65,2.0,3.2857142857142856,19.575,3,Friday
2023-03-18,ACC-001,4,82.71,0,accessories,20.65,4.0,3.857142857142857,20.6775,3,Saturday
2023-03-20,ACC-001,3,62.52,0,accessories,20.65,2.0,3.857142857142857,20.84,3,Monday
2023-03-26,ACC-001,1,19.5,0,accessories,20.65,3.0,4.0,19.5,3,Sunday
2023-03-27,ACC-001,2,41.14,0,accessories,20.65,4.0,3.7142857142857144,20.57,3,Monday
2023-04-01,ACC-001,2,41.34,0,accessories,20.65,5.0,3.4285714285714284,20.67,4,Saturday
2023-04-02,ACC-001,3,63.69,0,accessories,20.65,3.0,3.0,21.23,4,Sunday
2023-04-04,ACC-001,2,40.18,0,accessories,20.65,6.0,3.0,20.09,4,Tuesday
2023-04-07,ACC-001,4,81.16,0,accessories,20.65,4.0,2.4285714285714284,20.29,4,Friday
2023-04-08,ACC-001,5,101.7,0,accessories,20.65,3.0,2.4285714285714284,20.34,4,Saturday
2023-04-09,ACC-001,2,39.94,0,accessories,20.65,1.0,2.7142857142857144,19.97,4,Sunday
2023-04-10,ACC-001,6,122.29999999999998,0,accessories,20.65,2.0,2.857142857142857,20.38333333333333,4,Monday
2023-04-13,ACC-001,1,20.51,0,accessories,20.65,2.0,3.4285714285714284,20.51,4,Thursday
2023-04-14,ACC-001,3,55.56,0,accessories,20.65,3.0,3.2857142857142856,18.52,4,Friday
2023-04-15,ACC-001,5,91.53999999999999,0,accessories,20.65,2.0,3.2857142857142856,18.308,4,Saturday
2023-04-17,ACC-001,2,34.14,0,accessories,20.65,4.0,3.7142857142857144,17.07,4,Monday
2023-04-19,ACC-001,3,40.11,0,accessories,20.65,5.0,3.4285714285714284,13.37,4,Wednesday
2023-04-20,ACC-001,2,26.26,1,accessories,20.65,2.0,3.142857142857143,13.13,4,Thursday
2023-04-21,ACC-001,5,68.95,0,accessories,20.65,6.0,3.142857142857143,13.790000000000001,4,Friday
2023-04-22,ACC-001,3,43.769999999999996,0,accessories,20.65,1.0,3.0,14.589999999999998,4,Saturday
2023-04-23,ACC-001,2,31.34,0,accessories,20.65,3.0,3.2857142857142856,15.67,4,Sunday
2023-04-24,ACC-001,1,16.71,0,accessories,20.65,5.0,3.142857142857143,16.71,4,Monday
2023-05-05,ACC-001,9,158.76,0,accessories,20.65,2.0,2.5714285714285716,17.64,5,Friday
2023-05-06,ACC-001,3,54.27,0,accessories,20.65,3.0,3.5714285714285716,18.09,5,Saturday
2023-05-09,ACC-001,1,19.04,0,accessories,20.65,2.0,3.5714285714285716,19.04,5,Tuesday
2023-05-10,ACC-001,3,56.28,0,accessories,20.65,5.0,3.4285714285714284,18.76,5,Wednesday
2023-05-12,ACC-001,8,141.24,0,accessories,20.65,3.0,3.142857142857143,17.655,5,Friday
