model,fold,MAE,RMSE,MAPE,n
xgb_full_recursive,1,3.347592924237465,5.47350336399716,60.0938204087614,981
xgb_full_oracle_lags(NOT deployable),1,3.075702797665864,4.88828475073105,61.808048383337265,981
xgb_known_covariates_only,1,3.2872979205039328,5.321667317292231,59.67369902456991,981
baseline_flat_last7(deployable 30d),1,3.3349351973205184,5.332523888521867,69.02404859371714,981
baseline_lag7(1-step-ahead),1,3.981651376146789,6.017812499429295,88.15231491511555,981
baseline_rolling7_shifted(1-step-ahead),1,3.1722731906218145,4.961429378796804,76.09979521494027,981
baseline_rolling7_LEAKY(1-step + leaks),1,2.7942332896461335,4.373880743829106,66.36412286861638,981
xgb_full_recursive,2,2.873470646592025,4.460741933858499,65.98148190903903,995
xgb_full_oracle_lags(NOT deployable),2,2.6921733575085067,3.939420923530849,66.72273082248253,995
xgb_known_covariates_only,2,2.7802769317885243,4.135627562390427,66.551198874708,995
baseline_flat_last7(deployable 30d),2,3.6604450825556354,5.368047766832194,111.66127964871076,995
baseline_lag7(1-step-ahead),2,3.8442211055276383,5.509699077045678,99.3658480909912,995
baseline_rolling7_shifted(1-step-ahead),2,2.875520459440057,4.129271980446886,83.64570526508386,995
baseline_rolling7_LEAKY(1-step + leaks),2,2.4862885857860735,3.598570233062694,72.23892236580699,995
xgb_full_recursive,3,3.44411801391327,5.6300649637858005,65.16345518637226,1020
xgb_full_oracle_lags(NOT deployable),3,3.0786768652942333,4.706745671550385,67.95994737685004,1020
xgb_known_covariates_only,3,3.38434555451932,5.253477164707716,75.64628832222571,1020
baseline_flat_last7(deployable 30d),3,3.181792717086835,4.7555531870063,77.22004428337291,1020
baseline_lag7(1-step-ahead),3,4.003921568627451,5.7911358904761325,96.0792363232642,1020
baseline_rolling7_shifted(1-step-ahead),3,3.0836134453781514,4.449375099439269,77.1536735634077,1020
baseline_rolling7_LEAKY(1-step + leaks),3,2.661764705882353,3.8396037585679497,66.12471841033685,1020
xgb_full_recursive,4,5.347359568022729,11.319641127811261,71.32854347436694,1055
xgb_full_oracle_lags(NOT deployable),4,4.8790290790478865,9.929473925545334,70.7481954112331,1055
xgb_known_covariates_only,4,5.654996567955553,10.019530969267066,104.25696795002663,1055
baseline_flat_last7(deployable 30d),4,6.119431279620853,12.515761221108567,91.72639774874291,1055
baseline_lag7(1-step-ahead),4,6.898578199052133,13.61418273580831,95.04176966918465,1055
baseline_rolling7_shifted(1-step-ahead),4,5.393771157752201,11.15616707637354,77.88708414001707,1055
baseline_rolling7_LEAKY(1-step + leaks),4,4.623832092078537,9.385444338541461,66.9944626585577,1055
xgb_full_recursive,5,6.684829906115922,10.416265407404053,56.905608912755724,1152
xgb_full_oracle_lags(NOT deployable),5,5.939612869988833,9.477441684934497,57.35047000205009,1152
xgb_known_covariates_only,5,7.820961218674739,12.29573689794573,57.49289255050947,1152
baseline_flat_last7(deployable 30d),5,7.018353174603174,10.07089910518659,103.59422854296709,1152
baseline_lag7(1-step-ahead),5,7.932291666666667,11.634180962434213,91.57561635570126,1152
baseline_rolling7_shifted(1-step-ahead),5,6.014384920634921,8.483320720223707,79.29853129129924,1152
baseline_rolling7_LEAKY(1-step + leaks),5,5.342013888888889,7.757902762480904,69.29288784212213,1152
