bucket,MAE,RMSE,MAPE,n,fold,model
d1-7,2.395607221036509,3.675135335085002,69.5732732905451,200.0,1,full_recursive
d8-14,2.672236404124742,4.010865022403888,59.68811954541027,225.0,1,full_recursive
d15-21,3.695253589281339,6.387166417723797,60.103632419232255,239.0,1,full_recursive
d22-30,4.165452415467963,6.481930019158246,54.39365336584253,317.0,1,full_recursive
d1-7,2.4564086942939,3.7226317947037098,68.89331819691873,200.0,1,known_only
d8-14,2.5652040119078667,3.865844668503057,58.67049116762515,225.0,1,known_only
d15-21,3.6236665351863095,6.201010052800283,59.30635334099921,239.0,1,known_only
d22-30,4.070442639011924,6.268880456636741,54.845918430614695,317.0,1,known_only
d1-7,2.547142857142857,3.807591771978821,85.29205911847899,200.0,1,baseline_flat_last7
d8-14,2.913015873015873,4.205621979663373,71.69162189927118,225.0,1,baseline_flat_last7
d15-21,3.7955768081291095,6.473700926737314,71.13905368605411,239.0,1,baseline_flat_last7
d22-30,3.784136998648039,5.890735617124634,55.27233781841567,317.0,1,baseline_flat_last7
d1-7,2.6642857142857146,4.0760625258067025,87.43095138009656,200.0,1,baseline_rolling7_shifted_1step
d8-14,2.688888888888889,4.010134553643057,65.89613296478154,225.0,1,baseline_rolling7_shifted_1step
d15-21,3.665869695158398,6.152621550413941,76.45209347526314,239.0,1,baseline_rolling7_shifted_1step
d22-30,3.4637223974763405,5.073489416182199,75.92753492799166,317.0,1,baseline_rolling7_shifted_1step
d1-7,2.662459926475103,3.9387917612999583,69.8885175043716,227.0,2,full_recursive
d8-14,3.0965723573203485,4.791509577833442,77.09734811699431,236.0,2,full_recursive
d15-21,2.722047863657388,3.9945796710445194,60.36889002320586,230.0,2,full_recursive
d22-30,2.97305564596164,4.878923709107362,58.632656175673745,302.0,2,full_recursive
d1-7,2.723819899749753,3.8431713416515354,65.15711606364208,227.0,2,known_only
d8-14,2.972529153431606,4.296557287099037,78.21715119200118,236.0,2,known_only
d15-21,2.6034086423786795,3.7136911907716255,62.91746407142356,230.0,2,known_only
d22-30,2.8071773573822254,4.507688427589721,61.2500434309537,302.0,2,known_only
d1-7,3.2706104468219013,4.853856290070135,103.79790344644258,227.0,2,baseline_flat_last7
d8-14,3.972154963680387,6.007504242972485,127.3765723686633,236.0,2,baseline_flat_last7
d15-21,3.7,4.9718015852065065,105.79030509346259,230.0,2,baseline_flat_last7
d22-30,3.6797540208136232,5.495682611701964,109.76227787292645,302.0,2,baseline_flat_last7
d1-7,2.9899307740717433,4.328681195865766,95.46712044039492,227.0,2,baseline_rolling7_shifted_1step
d8-14,2.8934624697336564,3.977844209123594,85.74108138173227,236.0,2,baseline_rolling7_shifted_1step
d15-21,2.881366459627329,4.145587020917972,76.15767276888653,230.0,2,baseline_rolling7_shifted_1step
d22-30,2.7710501419110694,4.079176514687505,78.82543197303332,302.0,2,baseline_rolling7_shifted_1step
d1-7,2.5348137481070365,3.6658427746975475,76.69921738402161,235.0,3,full_recursive
d8-14,3.502154718871925,5.522635790396996,63.59404830325178,240.0,3,full_recursive
d15-21,2.639899138619535,4.3482329715384225,62.88191162308575,231.0,3,full_recursive
d22-30,4.671927738331233,7.462460378993364,59.40800964057766,314.0,3,full_recursive
d1-7,2.6657676506899155,3.9033580476085254,86.32544297281594,235.0,3,known_only
d8-14,3.423556200221053,5.200236801215226,75.53070138601015,240.0,3,known_only
d15-21,2.7984936764540507,4.289423540454324,79.8555527220083,231.0,3,known_only
d22-30,4.323157771922412,6.636633302658947,64.6456496134781,314.0,3,known_only
d1-7,2.6626139817629184,3.829406069708678,93.0693698289189,235.0,3,baseline_flat_last7
d8-14,3.1625,4.8033523582547035,76.18606033014697,240.0,3,baseline_flat_last7
d15-21,2.836116264687693,4.195968178273964,81.36767577328729,231.0,3,baseline_flat_last7
d22-30,3.839399454049135,5.648155791960193,63.097311071273246,314.0,3,baseline_flat_last7
d1-7,2.6376899696048635,3.726575412818731,88.20294017836059,235.0,3,baseline_rolling7_shifted_1step
d8-14,3.311904761904762,4.781679180195272,83.08300691170099,240.0,3,baseline_rolling7_shifted_1step
d15-21,2.6332714904143475,3.712691727805114,81.3273227705125,231.0,3,baseline_rolling7_shifted_1step
d22-30,3.574158325750682,5.128214419027204,61.281919980778646,314.0,3,baseline_rolling7_shifted_1step
d1-7,3.222431976476754,4.880694107593946,66.1071137392186,249.0,4,full_recursive
d8-14,2.878147612667665,3.9795868868696553,78.91343643463048,242.0,4,full_recursive
d15-21,2.8237848368064573,3.683375212755949,81.15601811682845,235.0,4,full_recursive
d22-30,10.574400070535486,19.274792768749034,62.681538509897926,329.0,4,full_recursive
d1-7,3.422292334999934,4.639662605676326,85.35770268387654,249.0,4,known_only
